N(059L,Champion 7GCBC Citabria,274-70,,,,,,,,
N1003D,Cessna 195,7611,,,,,,,,
N1003E,Aeronca 7AC Champion,7AC-4553,,,,,,,,
N1003F,Mooney M.20J-201,24-1161,,,,,,,,
N1003G,McDonnell-Douglas DC.9.81,48050,,,,,,,,
N1003H,Aeronca 15AC Sedan,15AC-5,,,,,,,,
N1003J,Aero Commander 112,10,,,,,,,,
N1003K,Luscombe 8E Silvaire DeLuxe,3730,,,,,,,,
N1003L,McDonnell-Douglas DC.10.15,48258,,,,,,,,
N1003M,Cessna 172L Skyhawk,59403,,,,,,,,
N1003N,McDonnell-Douglas DC.10.15,48276,,,,,,,,
N1003P,McDonnell-Douglas DC.9.32,48150,,,,,,,,
N1003Q,PA.32R Lance 300,32R-7780217,,,,,,,,
N1003R,Raven Rx.6,RX6-166,,,,,,,,
N1003S,Beech D.50 Twin Bonanza,DH-70,,,,,,,,
N1003T,Petco A,PET-0032,,,,,,,,
N1003U,McDonnell-Douglas DC.9.32,48151,,,,,,,,
N1003V,Cessna U.206F Stationair 6,02388,,,,,,,,
N1003W,McDonnell-Douglas DC.10.15,48289,,,,,,,,
N1003X,McDonnell-Douglas DC.9.82,48067,,,,,,,,
N1003Y,McDonnell-Douglas DC.9.82,48068,,,,,,,,
N1003Z,McDonnell-Douglas DC.9.82,48069,,,,,,,,
N1004,Fairchild F.27F,33,,,,,,,,
N10040,Cougar K,1,,,,,,,,
N10041,Sport Aire II SS,T1,,,,,,,,
N10042,Brantly B.2,151,,,,,,,,
N10043,Cessna 150L,74755,,,,,,,,
N10044,Cessna 185A Skywagon,0419,,,,,,,,
N10045,McDonnell-Douglas DC.10.15,48259,,,,,,,,
N10045,McDonnell-Douglas DC.9.82 (MD.82),49141,,,,,,,,
N10047,Cessna 150L,74758,,,,,,,,
N10048,Cessna 150L,74759,,,,,,,,
N10049,Air Tractor AT.401 Turbo Air Tractor,401-0689,,,,,,,,
N1004E,Bellanca 7GCBC Citabria,969-77,,,,,,,,
N1004H,PA.28 Warrior 151,28-7715301,,,,,,,,
N1004J,Aero Commander 112,16,,,,,,,,
N1004K,Luscombe 8A Master,3731,,,,,,,,
N1004L,McDonnell-Douglas DC.9.82,49110,,,,,,,,
N1004M,Cessna 172M Skyhawk,59404,,,,,,,,
N1004P,PA.23 Apache,23-Jun,,,,,,,,
N1004Q,Cessna 310H,0004,,,,,,,,
N1004R,Bellanca 17-31ATC Turbo Super Viking,74-31089,,,,,,,,
N1004S,McDonnell-Douglas DC.9.82,49140,,,,,,,,
N1004V,Cessna R.172K Hawk XP,2075,,,,,,,,
N1004X,PA.28 Cruiser 140,28-7525256,,,,,,,,
N1004Z,Hiland Sport MS.2,RGH-1,,,,,,,,
N1005,Martin RB.57A Canberra,ex 52-1419,,,,,,,,
N10050,Cessna 150L,74761,,,,,,,,
N10051,Cessna 150L,74762,,,,,,,,
N10052,Cessna 150L,74763,,,,,,,,
N10054,Fairchild KR.31,239,,,,,,,,
N10055,Smith DSA.1 Miniplane,1,,,,,,,,
N10056,Cessna 150L,74764,,,,,,,,
N10058,Pilatus PC.6 Porter,522,,,,,,,,
N10059,Sikorsky S.62A,62-080,,,,,,,,
N1005C,Rockwell Commander 112TCA,13258,,,,,,,,
N1005D,Beech A.35 Bonanza,D-1791,,,,,,,,
N1005E,Bellanca 8KCAB Decathlon,299-77,,,,,,,,
N1005F,Cessna A.185F Skywagon,02677,,,,,,,,
N1005H,Aeronca 15AC Sedan,15AC-7,,,,,,,,
N1005K,Luscombe 8A Master,3732,,,,,,,,
N1005L,Lake LA.4,248,,,,,,,,
N1005M,Cessna 172L Skyhawk,59405,,,,,,,,
